SMILES,IC50 (nM)
CS(=O)(=O)N1CCC[C@@H](c2nc(-c3ccc(C(=O)Nc4ccccn4)cc3)c3c(N)nccn23)C1,
CC(C)C(=O)N1CCC[C@@H](c2nc(-c3ccc(C(=O)Nc4cc(C#N)ccn4)cc3)c3c(N)nccn23)C1,
COC/C=C/C(=O)N1CCC[C@H]1c1nc(-c2ccc(C(=O)Nc3cc(C)ccn3)cc2)c2c(N)nccn12,
COC/C=C/C(=O)N1CCC[C@H]1c1nc(-c2ccc(C(=O)Nc3cc(C(C)C)ccn3)cc2)c2c(N)nccn12,
Cc1ccnc(NC(=O)c2ccc(-c3nc([C@@H]4CCCN4C(=O)/C=C/CN(C)C)n4ccnc(N)c34)cc2)c1,
CC#CC(=O)N1CCC[C@H]1c1nc(-c2ccc(C(=O)Nc3nccs3)cc2)c2c(N)nccn12,
CN(C)C/C=C/C(=O)NCc1nc(-c2ccc(C(=O)Nc3ccccn3)cc2)c2c(N)nccn12,
CC(C)c1ccnc(NC(=O)c2ccc(-c3nc([C@@H]4CCCN4C(=O)c4ccnc(Cl)n4)n4ccnc(N)c34)cc2)c1,
Nc1nccn2c([C@@H]3CCCN3C(=O)c3ccnc(Cl)n3)nc(-c3ccc(C(=O)Nc4nc5c(s4)CCCC5)cc3)c12,
CN(C)C/C=C/C(=O)N1CCCC[C@H]1c1nc(-c2ccc(C(=O)Nc3cccnn3)cc2)c2c(N)nccn12,
Nc1nccn2c([C@@H]3CCCCN3C(=O)c3ccnc(Cl)n3)nc(-c3ccc(C(=O)Nc4cc(F)ccn4)cc3)c12,
COC/C=C/C(=O)N1CCCC[C@H]1c1nc(-c2ccc(C(=O)Nc3cc(F)ccn3)cc2)c2c(N)nccn12,
COC/C=C/C(=O)N1CCC[C@H]1c1nc(-c2ccc(C(=O)Nc3nc4c(s3)CCCC4)cc2)c2c(N)nccn12,
COc1cc(-c2nc([C@@H]3CCCN3C(=O)c3ccnc(Cl)n3)n3ccnc(N)c23)ccc1C(=O)Nc1ccccn1,
Nc1nccn2c([C@@H]3CCCN3C(=O)c3ccnc(Cl)n3)nc(-c3ccc(C(=O)Nc4ccccn4)c(F)c3)c12,
CC#CC(=O)N1CCCC[C@H]1c1nc(-c2ccc(C(=O)Nc3nccc(C)n3)cc2)c2c(N)nccn12,
COC/C=C/C(=O)NCc1nc(-c2ccc(C(=O)Nc3ccccn3)cc2)c2c(N)nccn12,
CC#CC(=O)N1CCC[C@H]1c1nc(-c2ccc(C(=O)Nc3cc(N4CCCC4)ccn3)cc2)c2c(N)nccn12,
COC/C=C/C(=O)N1CCCCCC1c1nc(-c2ccc(C(=O)Nc3ccccn3)cc2)c2c(N)nccn12,
COC/C=C/C(=O)N1CCC[C@H]1c1nc(-c2ccc(C(=O)Nc3cc(C#N)ccn3)cc2)c2c(N)nccn12,
CC#CC(=O)N1CCC[C@H]1c1nc(-c2ccc(C(=O)Nc3ccccn3)c(OC)c2)c2c(N)nccn12,
COC/C=C/C(=O)N1CCC[C@H]1c1nc(-c2ccc(C(=O)Nc3ccccn3)c(OC)c2)c2c(N)nccn12,
C[C@H](NC(=O)c1ccnc(Cl)n1)c1nc(-c2ccc(C(=O)Nc3ccccn3)cc2)c2c(N)nccn12,
CC#CC(=O)N1CCC[C@H]1c1nc(-c2ccc(C(=O)Nc3cc(F)ccn3)cc2)c2c(N)nccn12,
CC#CC(=O)NCc1nc(-c2ccc(C(=O)Nc3ccccn3)cc2)c2c(N)nccn12,
CC#CC(=O)N(C)[C@@H](C)c1nc(-c2ccc(C(=O)Nc3cc(CCC)ccn3)cc2)c2c(N)nccn12,
CCCc1ccnc(NC(=O)c2ccc(-c3nc([C@@H]4CCCCN4C(=O)/C=C/COC)n4ccnc(N)c34)cc2F)c1,
Nc1nccn2c([C@@H]3CCCN3C(=O)c3ccnc(Cl)n3)nc(-c3ccc(C(=O)Nc4cc(C(F)(F)F)ccn4)cc3)c12,
C=CC(=O)N1CCC[C@H]1c1nc(-c2ccc(C(=O)Nc3ccccn3)cc2)c2c(N)nccn12,
CN(C)C/C=C/C(=O)N1CCC[C@H]1c1nc(-c2ccc(C(=O)Nc3ccccn3)cc2)c2c(N)nccn12,
CC#CC(=O)N1CCC[C@H]1c1nc(-c2ccc(C(=O)Nc3ccccn3)cc2)c2c(N)nccn12,
CC#CC(=O)N1CCC[C@H]1c1nc(-c2ccc(C(=O)Nc3cc(C)ccn3)cc2)c2c(N)nccn12,
CCCc1ccnc(NC(=O)c2ccc(-c3nc([C@@H]4CCCN4C(=O)/C=C/COC)n4ccnc(N)c34)cc2)c1,
CC#CC(=O)N1CCC[C@H]1c1nc(-c2ccc(C(=O)Nc3cc(C(F)(F)F)ccn3)cc2)c2c(N)nccn12,
CC#CC(=O)N1CCC[C@H]1c1nc(-c2ccc(C(=O)Nc3nc4c(s3)CCCC4)cc2)c2c(N)nccn12,
C=CC(=O)N1CCCC1c1nc(-c2ccc(C(=O)Nc3ccccn3)c(F)c2)c2c(N)nccn12,
C=CC(=O)N1CCC[C@H]1c1nc(-c2ccc(C(=O)Nc3ccccn3)c(OC)c2)c2c(N)nccn12,
CN(C)C/C=C/C(=O)N1CCC[C@H]1c1nc(-c2ccc(C(=O)Nc3nccs3)cc2)c2c(N)nccn12,
COC/C=C/C(=O)N1CCCC[C@H]1c1nc(-c2ccc(C(=O)Nc3ccccn3)cc2)c2c(N)nccn12,
C=CC(=O)N1CCCC[C@H]1c1nc(-c2ccc(C(=O)Nc3cc(F)ccn3)cc2)c2c(N)nccn12,
C=CC(=O)N1CCCC[C@H]1c1nc(-c2ccc(C(=O)Nc3cc(C#N)ccn3)cc2)c2c(N)nccn12,
C=CS(=O)(=O)N1CCCC[C@H]1c1nc(-c2ccc(C(=O)Nc3cc(C(F)(F)F)ccn3)cc2)c2c(N)nccn12,
C=CC(=O)N1CCCC[C@H]1c1nc(-c2ccc(C(=O)Nc3ncccn3)cc2)c2c(N)nccn12,
C=CC(=O)N1CCCC[C@H]1c1nc(-c2ccc(C(=O)Nc3nccc(C)n3)cc2)c2c(N)nccn12,
CC#CC(=O)N1CCCC[C@H]1c1nc(-c2ccc(C(=O)Nc3ccncn3)cc2)c2c(N)nccn12,
CC#CC(=O)N1CCCC[C@H]1c1nc(-c2ccc(C(=O)Nc3cccnn3)cc2)c2c(N)nccn12,
CCc1cnc(NC(=O)c2ccc(-c3nc([C@@H]4CCCCN4C(=O)/C=C/COC)n4ccnc(N)c34)cc2)s1,
C=CC(=O)N1CCCC[C@H]1c1nc(-c2ccc(C(=O)Nc3cc(CCC)ccn3)c(F)c2)c2c(N)nccn12,
CCCc1ccnc(NC(=O)c2ccc(-c3nc([C@@H]4CCCCN4C(=O)/C=C/CN(C)C)n4ccnc(N)c34)cc2OC)c1,
CC#CC(=O)N1CCCC[C@H]1c1nc(-c2ccc(C(=O)Nc3ccccn3)cc2C)c2c(N)nccn12,
C=CC(=O)NCc1nc(-c2ccc(C(=O)Nc3ccccn3)cc2)c2c(N)nccn12,
CC#CC(=O)N[C@@H](C)c1nc(-c2ccc(C(=O)Nc3ccccn3)cc2)c2c(N)nccn12,
C#CC(=O)N(C)CCOc1c(N)ncnc1-c1cc(F)cc(NC(=O)c2ccc(C3CC3)cc2F)c1C, 1.8
C=CC(=O)N1CCC[C@@H](Nc2nc(Nc3cnn(CCN4CCOCC4)c3)nc3[nH]cc(Cl)c23)C1, 1.80
C=CC(=O)N(C)C1CCCN(c2ccc(C(N)=O)c3[nH]c(C)c(C)c23)C1, 1.80
C=CC(=O)N1CC[C@]2(C1)C[C@H](n1c(NC(=O)c3cncs3)nc3cc(CN[C@@H](C)C(C)(C)C)ccc31)C2, 1.8
CC#CC(=O)N[C@@H](C)c1nc(-c2ccc(C(=O)Nc3cc(C(F)(F)F)ccn3)cc2)c2c(N)nccn12, 1.80
C=CC(=O)N1CCC([C@@H]2CCNc3c(C(N)=O)c(-c4ccc(Oc5ccccc5)cc4)nn32)CC1, 1.8
C=CC(=O)N1CCC[C@@H](Nc2nc(Nc3cnn(Cc4cccc(OC)c4)c3)nc3[nH]nc(Cl)c23)C1, 1.80
CC#CC(=O)N1C2CN[C@@H](C2)C1c1nc(-c2ccc(C(=O)Nc3cc(C(F)(F)F)ccn3)cc2)c2c(N)nccn12, 1.80
C=CC(=O)N1CCC([C@@H]2CCNc3c(C(N)=O)c(-c4ccc(Oc5ccccc5)cc4)nn32)CC1, 1.8
Cc1c(-c2ccc(C(N)=O)c3[nH]c4cc(C(C)(C)O)ccc4c23)cccc1-n1c(=O)cc2ccccn2c1=O, 1.8
CC#CC(=O)N1CC[C@]2(C1)C[C@H](n1nc(-c3cnn(Cc4cc(C(F)(F)F)ccc4C)c3)c(C(N)=O)c1N)C2, 1.80
C=CC(=O)N1C[C@H](Nc2nc(Nc3cnn(CC(F)(F)F)c3)nc3[nH]cc(Cl)c23)CC[C@@H]1C, 1.80
CC(C)(C)/C=C(\C#N)C(=O)N1CCC[C@@H](n2nc(-c3ccc(Oc4ccccc4)cc3F)c3c(N)ncnc32)C1, 1.8
CC1(C=C(C#N)C(=O)N2CCC[C@@H](n3nc(-c4ccc(Oc5ccccc5)cc4F)c4c(N)nccc43)C2)CCN(C2COC2)CC1, 1.80
